model,pool,targets,mean_hits,expected,lift,cov3,cov3_exp,cov4,cov4_exp,cov5,cov5_exp,cov6,cov6_exp,dev_mean,conf_mean,p_full,p_dev,p_conf,p_full_holm
freq_w40,15,129,2.4263565891472867,2.3684210526315788,1.024461670973299,0.4883720930232558,0.4438122332859174,0.13953488372093023,0.15192591972777728,0.015503875968992248,0.02683178534571723,0.0,0.001812958469305218,2.328125,2.523076923076923,0.290185180135938,0.6342578142363651,0.1436703661085924,1.0
freq_w40,20,129,3.147286821705426,3.1578947368421053,0.996640826873385,0.7054263565891473,0.7206037206037206,0.3953488372093023,0.38364338364338363,0.08527131782945736,0.11512811512811516,0.015503875968992248,0.01404001404001404,3.125,3.169230769230769,0.5576892694678944,0.6129299777434201,0.48997274645661504,1.0
ewma_0.9,6,129,1.0852713178294573,0.9473684210526315,1.1455641688199827,0.05426356589147287,0.03869806036988699,0.007751937984496124,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,1.09375,1.0769230769230769,0.034863472799424075,0.09241391841653701,0.11927302371040643,1.0
ewma_0.9,8,129,1.4883720930232558,1.263157894736842,1.178294573643411,0.17829457364341086,0.09400506614128905,0.015503875968992248,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.421875,1.5538461538461539,0.003803848166218064,0.09779328958731326,0.007857570034787428,0.296700156965009
ewma_0.9,10,129,1.744186046511628,1.5789473684210527,1.1046511627906976,0.2558139534883721,0.17378538121572176,0.05426356589147287,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.640625,1.8461538461538463,0.03466699822979235,0.33164169368678226,0.019473642832734922,1.0
ewma_0.9,12,129,2.0155038759689923,1.894736842105263,1.0637381567614126,0.3798449612403101,0.27326264787565097,0.08527131782945736,0.06606739424076885,0.015503875968992248,0.007793729155958257,0.0,0.00033470002510250184,1.9375,2.0923076923076924,0.1052984371994922,0.3939914435180979,0.07482709783957583,1.0
ewma_0.9,15,129,2.4186046511627906,2.3684210526315788,1.021188630490956,0.4806201550387597,0.4438122332859174,0.17829457364341086,0.15192591972777728,0.03875968992248062,0.02683178534571723,0.0,0.001812958469305218,2.40625,2.4307692307692306,0.3177760395333541,0.41356671941903334,0.34526226888705686,1.0
ewma_0.9,20,129,3.2093023255813953,3.1578947368421053,1.0162790697674418,0.7286821705426356,0.7206037206037206,0.4186046511627907,0.38364338364338363,0.16279069767441862,0.11512811512811516,0.007751937984496124,0.01404001404001404,3.234375,3.1846153846153844,0.3176543582768342,0.31473655775532255,0.4466215221019523,1.0
cold_all,6,129,0.8837209302325582,0.9473684210526315,0.9328165374677003,0.023255813953488372,0.03869806036988699,0.007751937984496124,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.90625,0.8615384615384616,0.8217669221724493,0.6777899814664177,0.8174762873047212,1.0
cold_all,8,129,1.302325581395349,1.263157894736842,1.0310077519379846,0.07751937984496124,0.09400506614128905,0.015503875968992248,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.296875,1.3076923076923077,0.3310621164335384,0.4082503704553535,0.37138966838403187,1.0
cold_all,10,129,1.6589147286821706,1.5789473684210527,1.0506459948320415,0.20930232558139536,0.17378538121572176,0.03875968992248062,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.65625,1.6615384615384616,0.19409003386919985,0.2880306239838425,0.2720863832335601,1.0
cold_all,12,129,1.9922480620155039,1.894736842105263,1.0514642549526272,0.2868217054263566,0.27326264787565097,0.11627906976744186,0.06606739424076885,0.015503875968992248,0.007793729155958257,0.0,0.00033470002510250184,2.03125,1.9538461538461538,0.15758294007987692,0.16531459131617576,0.3460910277314377,1.0
cold_all,15,129,2.434108527131783,2.3684210526315788,1.0277347114556417,0.4883720930232558,0.4438122332859174,0.17829457364341086,0.15192591972777728,0.031007751937984496,0.02683178534571723,0.0,0.001812958469305218,2.53125,2.3384615384615386,0.26377916260660184,0.13278117263992473,0.6064257286322261,1.0
cold_all,20,129,3.124031007751938,3.1578947368421053,0.9892764857881138,0.7054263565891473,0.7206037206037206,0.4108527131782946,0.38364338364338363,0.10077519379844961,0.11512811512811516,0.0,0.01404001404001404,3.1875,3.0615384615384613,0.647019118515056,0.4393557635511886,0.7697172035999216,1.0
overdue_gap,6,129,0.937984496124031,0.9473684210526315,0.9900947459086995,0.05426356589147287,0.03869806036988699,0.0,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.9375,0.9384615384615385,0.5686093250402683,0.5628438024638109,0.5592500141466186,1.0
overdue_gap,8,129,1.2325581395348837,1.263157894736842,0.9757751937984497,0.10077519379844961,0.09400506614128905,0.007751937984496124,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.25,1.2153846153846153,0.6613620756167734,0.568097683850318,0.6823671207848767,1.0
overdue_gap,10,129,1.4651162790697674,1.5789473684210527,0.927906976744186,0.17054263565891473,0.17378538121572176,0.023255813953488372,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.5,1.4307692307692308,0.909386043436242,0.7543600861765467,0.8956852086677045,1.0
overdue_gap,12,129,1.7829457364341086,1.894736842105263,0.9409991386735573,0.2713178294573643,0.27326264787565097,0.06201550387596899,0.06606739424076885,0.0,0.007793729155958257,0.0,0.00033470002510250184,1.796875,1.7692307692307692,0.8930460892754958,0.7871552547242471,0.8448382511520829,1.0
overdue_gap,15,129,2.2868217054263567,2.3684210526315788,0.9655469422911285,0.40310077519379844,0.4438122332859174,0.15503875968992248,0.15192591972777728,0.03875968992248062,0.02683178534571723,0.0,0.001812958469305218,2.265625,2.3076923076923075,0.8082507383358981,0.786328279925363,0.6891026631838129,1.0
overdue_gap,20,129,3.0155038759689923,3.1578947368421053,0.9549095607235142,0.6821705426356589,0.7206037206037206,0.35658914728682173,0.38364338364338363,0.09302325581395349,0.11512811512811516,0.023255813953488372,0.01404001404001404,3.078125,2.953846153846154,0.9278935893976806,0.7312154225491871,0.9332670830658407,1.0
recent_hot,6,129,0.9302325581395349,0.9473684210526315,0.9819121447028424,0.023255813953488372,0.03869806036988699,0.0,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.84375,1.0153846153846153,0.6099755772740991,0.8589479263098476,0.27639464212975756,1.0
recent_hot,8,129,1.2015503875968991,1.263157894736842,0.9512273901808785,0.08527131782945736,0.09400506614128905,0.015503875968992248,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.078125,1.323076923076923,0.7877209764608106,0.9534883406462077,0.3224781227920469,1.0
recent_hot,10,129,1.558139534883721,1.5789473684210527,0.9868217054263566,0.18604651162790697,0.17378538121572176,0.023255813953488372,0.03138573417211187,0.007751937984496124,0.002631959288306037,0.0,7.606818752329587e-05,1.46875,1.646153846153846,0.6082894467899709,0.8265300401082827,0.31427098479573173,1.0
recent_hot,12,129,1.8914728682170543,1.894736842105263,0.9982773471145565,0.27906976744186046,0.27326264787565097,0.06201550387596899,0.06606739424076885,0.015503875968992248,0.007793729155958257,0.0,0.00033470002510250184,1.84375,1.9384615384615385,0.5290638223281976,0.6700463363677697,0.3900625777782141,1.0
recent_hot,15,129,2.449612403100775,2.3684210526315788,1.0342807924203274,0.4496124031007752,0.4438122332859174,0.17829457364341086,0.15192591972777728,0.03875968992248062,0.02683178534571723,0.007751937984496124,0.001812958469305218,2.34375,2.5538461538461537,0.21492250613331004,0.591225563313762,0.09931687835435735,1.0
recent_hot,20,129,3.310077519379845,3.1578947368421053,1.0481912144702843,0.7829457364341085,0.7206037206037206,0.4186046511627907,0.38364338364338363,0.16279069767441862,0.11512811512811516,0.031007751937984496,0.01404001404001404,3.265625,3.353846153846154,0.06919610789168339,0.2411869744709743,0.0908771724802274,1.0
trend_20v20,6,129,0.9224806201550387,0.9473684210526315,0.9737295434969854,0.05426356589147287,0.03869806036988699,0.0,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.859375,0.9846153846153847,0.6502066812280674,0.8215066689123349,0.3828106722276104,1.0
trend_20v20,8,129,1.2170542635658914,1.263157894736842,0.963501291989664,0.11627906976744186,0.09400506614128905,0.0,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.234375,1.2,0.7281104860783534,0.6204823314171986,0.7288318362425921,1.0
trend_20v20,10,129,1.558139534883721,1.5789473684210527,0.9868217054263566,0.21705426356589147,0.17378538121572176,0.015503875968992248,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.703125,1.4153846153846155,0.6082894467899709,0.17638678341678415,0.9167433715748255,1.0
trend_20v20,12,129,1.8914728682170543,1.894736842105263,0.9982773471145565,0.3178294573643411,0.27326264787565097,0.06976744186046512,0.06606739424076885,0.007751937984496124,0.007793729155958257,0.0,0.00033470002510250184,2.0625,1.7230769230769232,0.5290638223281976,0.11382220265519549,0.914762265354907,1.0
trend_20v20,15,129,2.372093023255814,2.3684210526315788,1.0015503875968994,0.4496124031007752,0.4438122332859174,0.17829457364341086,0.15192591972777728,0.023255813953488372,0.02683178534571723,0.0,0.001812958469305218,2.59375,2.1538461538461537,0.5000304538591691,0.05944898171639528,0.9468068486238884,1.0
